seed,cenario,sample,y_true,y_pred,prob_0,prob_1,prob_2
7,MobileNet_Original + MobileNet_RecPlot,0,0,0,0.4142913520336151,0.38020122051239014,0.2055073231458664
7,MobileNet_Original + MobileNet_RecPlot,1,0,0,0.4454975426197052,0.22777700424194336,0.32672548294067383
7,MobileNet_Original + MobileNet_RecPlot,2,0,0,0.4914330244064331,0.07179109752178192,0.43677589297294617
7,MobileNet_Original + MobileNet_RecPlot,3,0,0,0.5688578486442566,0.4041540026664734,0.0269881933927536
7,MobileNet_Original + MobileNet_RecPlot,4,0,0,0.9864553213119507,0.00830493588000536,0.0052397530525922775
7,MobileNet_Original + MobileNet_RecPlot,5,0,0,0.9931879043579102,0.0017184809548780322,0.00509360758587718
7,MobileNet_Original + MobileNet_RecPlot,6,0,0,0.9746803045272827,0.0102090360596776,0.015110645443201065
7,MobileNet_Original + MobileNet_RecPlot,7,0,1,0.18848967552185059,0.7468785643577576,0.06463173776865005
7,MobileNet_Original + MobileNet_RecPlot,8,0,0,0.5127805471420288,0.2547404170036316,0.2324790209531784
7,MobileNet_Original + MobileNet_RecPlot,9,0,0,0.501136064529419,0.32509708404541016,0.17376691102981567
7,MobileNet_Original + MobileNet_RecPlot,10,0,0,0.9321485161781311,0.03283056989312172,0.03502089902758598
7,MobileNet_Original + MobileNet_RecPlot,11,0,1,0.4137628376483917,0.4701691269874573,0.11606799066066742
7,MobileNet_Original + MobileNet_RecPlot,12,0,0,0.7726113796234131,0.023235687986016273,0.20415295660495758
7,MobileNet_Original + MobileNet_RecPlot,13,0,0,0.5786733627319336,0.038851603865623474,0.38247501850128174
7,MobileNet_Original + MobileNet_RecPlot,14,0,0,0.605887234210968,0.36986351013183594,0.024249279871582985
7,MobileNet_Original + MobileNet_RecPlot,15,0,2,0.1242121011018753,0.36528900265693665,0.5104988813400269
7,MobileNet_Original + MobileNet_RecPlot,16,0,0,0.4234347641468048,0.31994032859802246,0.25662490725517273
7,MobileNet_Original + MobileNet_RecPlot,17,0,0,0.9426403045654297,0.012758970260620117,0.04460075870156288
7,MobileNet_Original + MobileNet_RecPlot,18,1,1,0.08242291957139969,0.8645827174186707,0.05299438163638115
7,MobileNet_Original + MobileNet_RecPlot,19,1,1,0.007535872515290976,0.9729586839675903,0.019505424425005913
7,MobileNet_Original + MobileNet_RecPlot,20,1,1,0.0068917423486709595,0.989242434501648,0.0038658282719552517
7,MobileNet_Original + MobileNet_RecPlot,21,1,1,0.05804356932640076,0.7983183860778809,0.14363804459571838
7,MobileNet_Original + MobileNet_RecPlot,22,1,1,0.06371606141328812,0.8935334086418152,0.04275054484605789
7,MobileNet_Original + MobileNet_RecPlot,23,1,1,0.31211456656455994,0.6332178711891174,0.05466756597161293
7,MobileNet_Original + MobileNet_RecPlot,24,1,1,0.04383351281285286,0.8700241446495056,0.08614238351583481
7,MobileNet_Original + MobileNet_RecPlot,25,1,1,0.02667328342795372,0.9401204586029053,0.033206287771463394
7,MobileNet_Original + MobileNet_RecPlot,26,1,1,0.08078674226999283,0.8468256592750549,0.07238765805959702
7,MobileNet_Original + MobileNet_RecPlot,27,1,1,0.09079843759536743,0.7042850255966187,0.2049165666103363
7,MobileNet_Original + MobileNet_RecPlot,28,1,1,0.07127710431814194,0.883246660232544,0.045476142317056656
7,MobileNet_Original + MobileNet_RecPlot,29,1,1,0.0258621908724308,0.8356615304946899,0.13847625255584717
7,MobileNet_Original + MobileNet_RecPlot,30,1,1,0.046172771602869034,0.8823336362838745,0.07149358093738556
7,MobileNet_Original + MobileNet_RecPlot,31,1,1,0.030511610209941864,0.9479610919952393,0.02152729406952858
7,MobileNet_Original + EffNet_Original,0,0,0,0.5498988628387451,0.3728117346763611,0.07728937268257141
7,MobileNet_Original + EffNet_Original,1,0,0,0.817979097366333,0.15008488297462463,0.03193603828549385
7,MobileNet_Original + EffNet_Original,2,0,0,0.906086266040802,0.062041398137807846,0.031872376799583435
7,MobileNet_Original + EffNet_Original,3,0,1,0.3103669285774231,0.6440241932868958,0.045608822256326675
7,MobileNet_Original + EffNet_Original,4,0,0,0.9914060235023499,0.004160935990512371,0.0044330512173473835
7,MobileNet_Original + EffNet_Original,5,0,0,0.9992800354957581,0.00016479451733175665,0.0005551642389036715
7,MobileNet_Original + EffNet_Original,6,0,0,0.9991466999053955,0.000359078636392951,0.0004942620289511979
7,MobileNet_Original + EffNet_Original,7,0,0,0.6192104816436768,0.29705655574798584,0.08373302966356277
7,MobileNet_Original + EffNet_Original,8,0,0,0.5122385025024414,0.26354658603668213,0.22421500086784363
7,MobileNet_Original + EffNet_Original,9,0,0,0.7344518899917603,0.06788726896047592,0.19766083359718323
7,MobileNet_Original + EffNet_Original,10,0,0,0.9861026406288147,0.008203687146306038,0.005693655461072922
7,MobileNet_Original + EffNet_Original,11,0,0,0.8579384088516235,0.029170628637075424,0.11289096623659134
7,MobileNet_Original + EffNet_Original,12,0,0,0.9657252430915833,0.009519355371594429,0.024755436927080154
7,MobileNet_Original + EffNet_Original,13,0,0,0.8957958221435547,0.02174299582839012,0.08246120810508728
7,MobileNet_Original + EffNet_Original,14,0,0,0.9964465498924255,0.0013823035405948758,0.002171135740354657
7,MobileNet_Original + EffNet_Original,15,0,2,0.40320566296577454,0.0591704435646534,0.537623941898346
7,MobileNet_Original + EffNet_Original,16,0,0,0.8231704831123352,0.04412253946065903,0.13270702958106995
7,MobileNet_Original + EffNet_Original,17,0,0,0.9551494121551514,0.00686906510964036,0.03798150271177292
7,MobileNet_Original + EffNet_Original,18,1,1,0.013574487529695034,0.9818524122238159,0.004573078826069832
7,MobileNet_Original + EffNet_Original,19,1,1,0.00015374470967799425,0.9995353817939758,0.00031088152900338173
7,MobileNet_Original + EffNet_Original,20,1,1,0.00325780245475471,0.9916375279426575,0.005104664247483015
7,MobileNet_Original + EffNet_Original,21,1,1,0.0445256270468235,0.7797759175300598,0.1756984293460846
7,MobileNet_Original + EffNet_Original,22,1,1,0.010987207293510437,0.9704285860061646,0.01858418621122837
7,MobileNet_Original + EffNet_Original,23,1,1,0.02843598648905754,0.9406911134719849,0.03087291494011879
7,MobileNet_Original + EffNet_Original,24,1,1,0.030376633629202843,0.6547400951385498,0.314883291721344
7,MobileNet_Original + EffNet_Original,25,1,1,0.004430554807186127,0.9699656367301941,0.025603828951716423
7,MobileNet_Original + EffNet_Original,26,1,1,0.06762205809354782,0.8558043241500854,0.07657361030578613
7,MobileNet_Original + EffNet_Original,27,1,1,0.029228731989860535,0.8893594741821289,0.08141179382801056
7,MobileNet_Original + EffNet_Original,28,1,1,0.028786350041627884,0.9496865272521973,0.021527159959077835
7,MobileNet_Original + EffNet_Original,29,1,1,0.010428542271256447,0.9711010456085205,0.018470419570803642
7,MobileNet_Original + EffNet_Original,30,1,1,0.040044981986284256,0.7954748868942261,0.16448011994361877
7,MobileNet_Original + EffNet_Original,31,1,1,0.11369965225458145,0.802132248878479,0.08416806161403656
7,MobileNet_Original + EffNet_RecPlot,0,0,2,0.36672911047935486,0.17417940497398376,0.45909154415130615
7,MobileNet_Original + EffNet_RecPlot,1,0,2,0.3451901972293854,0.16331444680690765,0.49149537086486816
7,MobileNet_Original + EffNet_RecPlot,2,0,0,0.5328477025032043,0.10229983925819397,0.3648524284362793
7,MobileNet_Original + EffNet_RecPlot,3,0,0,0.5020089149475098,0.4053860008716583,0.09260514378547668
7,MobileNet_Original + EffNet_RecPlot,4,0,0,0.9884469509124756,0.006087215151637793,0.00546578224748373
7,MobileNet_Original + EffNet_RecPlot,5,0,0,0.9970452189445496,0.0008693095878697932,0.0020854277536273003
7,MobileNet_Original + EffNet_RecPlot,6,0,0,0.9988681674003601,0.0006383732543326914,0.0004934472963213921
7,MobileNet_Original + EffNet_RecPlot,7,0,1,0.17368246614933014,0.7631639838218689,0.06315359473228455
7,MobileNet_Original + EffNet_RecPlot,8,0,0,0.5576278567314148,0.13278518617153168,0.30958694219589233
7,MobileNet_Original + EffNet_RecPlot,9,0,0,0.5299422740936279,0.08163401484489441,0.38842374086380005
7,MobileNet_Original + EffNet_RecPlot,10,0,0,0.9641584157943726,0.017421886324882507,0.018419664353132248
7,MobileNet_Original + EffNet_RecPlot,11,0,1,0.38097482919692993,0.5084214806556702,0.11060377210378647
7,MobileNet_Original + EffNet_RecPlot,12,0,0,0.675669252872467,0.033025290817022324,0.2913055121898651
7,MobileNet_Original + EffNet_RecPlot,13,0,2,0.45830196142196655,0.05240413546562195,0.4892939329147339
7,MobileNet_Original + EffNet_RecPlot,14,0,0,0.9851938486099243,0.008861889131367207,0.005944231990724802
7,MobileNet_Original + EffNet_RecPlot,15,0,1,0.1602085828781128,0.4259452819824219,0.41384613513946533
7,MobileNet_Original + EffNet_RecPlot,16,0,0,0.547582745552063,0.07394638657569885,0.37847089767456055
7,MobileNet_Original + EffNet_RecPlot,17,0,0,0.9435701370239258,0.00940693449229002,0.047022923827171326
7,MobileNet_Original + EffNet_RecPlot,18,1,1,0.1473972648382187,0.7806210517883301,0.07198171317577362
7,MobileNet_Original + EffNet_RecPlot,19,1,1,0.00033053685910999775,0.9988303780555725,0.0008390998118557036
7,MobileNet_Original + EffNet_RecPlot,20,1,1,0.030167650431394577,0.9641077518463135,0.005724599584937096
7,MobileNet_Original + EffNet_RecPlot,21,1,1,0.02946203202009201,0.8564774990081787,0.11406046897172928
7,MobileNet_Original + EffNet_RecPlot,22,1,1,0.011456387117505074,0.9696249961853027,0.018918629735708237
7,MobileNet_Original + EffNet_RecPlot,23,1,1,0.3973843455314636,0.5630456209182739,0.039570026099681854
7,MobileNet_Original + EffNet_RecPlot,24,1,1,0.029248209670186043,0.8891135454177856,0.08163828402757645
7,MobileNet_Original + EffNet_RecPlot,25,1,1,0.0043922848999500275,0.9826211333274841,0.012986613437533379
7,MobileNet_Original + EffNet_RecPlot,26,1,1,0.06689317524433136,0.8602474331855774,0.07285939157009125
7,MobileNet_Original + EffNet_RecPlot,27,1,1,0.14042514562606812,0.7115724086761475,0.14800244569778442
7,MobileNet_Original + EffNet_RecPlot,28,1,1,0.023820944130420685,0.9480379819869995,0.028141073882579803
7,MobileNet_Original + EffNet_RecPlot,29,1,1,0.013951029628515244,0.9352924823760986,0.0507565513253212
7,MobileNet_Original + EffNet_RecPlot,30,1,1,0.03670180216431618,0.9003333449363708,0.06296487152576447
7,MobileNet_Original + EffNet_RecPlot,31,1,1,0.02922784350812435,0.9514150619506836,0.019357066601514816
7,MobileNet_RecPlot + EffNet_Original,0,0,1,0.38135018944740295,0.4257674813270569,0.19288235902786255
7,MobileNet_RecPlot + EffNet_Original,1,0,0,0.6110892295837402,0.08625033497810364,0.30266043543815613
7,MobileNet_RecPlot + EffNet_Original,2,0,0,0.5786536335945129,0.015161157585680485,0.40618517994880676
7,MobileNet_RecPlot + EffNet_Original,3,0,0,0.6767221093177795,0.2634303569793701,0.05984754115343094
7,MobileNet_RecPlot + EffNet_Original,4,0,0,0.9912261962890625,0.005659547634422779,0.003114281687885523
7,MobileNet_RecPlot + EffNet_Original,5,0,0,0.9927585124969482,0.0017987051978707314,0.005442773923277855
7,MobileNet_RecPlot + EffNet_Original,6,0,0,0.9739951491355896,0.010460179299116135,0.015544664114713669
7,MobileNet_RecPlot + EffNet_Original,7,0,0,0.4907967448234558,0.47225674986839294,0.036946505308151245
7,MobileNet_RecPlot + EffNet_Original,8,0,0,0.36433613300323486,0.2798231244087219,0.3558407127857208
7,MobileNet_RecPlot + EffNet_Original,9,0,0,0.5366093516349792,0.2985188066959381,0.16487185657024384
7,MobileNet_RecPlot + EffNet_Original,10,0,0,0.9447029829025269,0.025174761191010475,0.03012225031852722
7,MobileNet_RecPlot + EffNet_Original,11,0,0,0.5468788146972656,0.4423038065433502,0.010817433707416058
7,MobileNet_RecPlot + EffNet_Original,12,0,0,0.760011613368988,0.024396581575274467,0.21559178829193115
7,MobileNet_RecPlot + EffNet_Original,13,0,0,0.6610414385795593,0.030373994261026382,0.3085845410823822
7,MobileNet_RecPlot + EffNet_Original,14,0,0,0.6046879291534424,0.37013518810272217,0.025176916271448135
7,MobileNet_RecPlot + EffNet_Original,15,0,1,0.323896586894989,0.40732696652412415,0.26877641677856445
7,MobileNet_RecPlot + EffNet_Original,16,0,0,0.5497526526451111,0.29858389496803284,0.15166343748569489
7,MobileNet_RecPlot + EffNet_Original,17,0,0,0.976575493812561,0.00919549074023962,0.014229055494070053
7,MobileNet_RecPlot + EffNet_Original,18,1,1,0.09241321682929993,0.8529640436172485,0.054622795432806015
7,MobileNet_RecPlot + EffNet_Original,19,1,1,0.007430336903780699,0.9733231067657471,0.019246570765972137
7,MobileNet_RecPlot + EffNet_Original,20,1,1,0.008932333439588547,0.9835399389266968,0.007527738809585571
7,MobileNet_RecPlot + EffNet_Original,21,1,1,0.04377659037709236,0.8625677227973938,0.09365570545196533
7,MobileNet_RecPlot + EffNet_Original,22,1,1,0.06386347115039825,0.9075085520744324,0.028628021478652954
7,MobileNet_RecPlot + EffNet_Original,23,1,1,0.298872709274292,0.651361882686615,0.04976538568735123
7,MobileNet_RecPlot + EffNet_Original,24,1,1,0.016963135451078415,0.7445230484008789,0.23851381242275238
7,MobileNet_RecPlot + EffNet_Original,25,1,1,0.022984251379966736,0.9436851143836975,0.03333061560988426
7,MobileNet_RecPlot + EffNet_Original,26,1,1,0.01632576249539852,0.966347873210907,0.017326368018984795
7,MobileNet_RecPlot + EffNet_Original,27,1,1,0.06355493515729904,0.7876660227775574,0.14877906441688538
7,MobileNet_RecPlot + EffNet_Original,28,1,1,0.08108941465616226,0.8709180355072021,0.0479925237596035
7,MobileNet_RecPlot + EffNet_Original,29,1,1,0.01549733430147171,0.8638944029808044,0.12060826271772385
7,MobileNet_RecPlot + EffNet_Original,30,1,1,0.013742532581090927,0.8757169246673584,0.11054061353206635
7,MobileNet_RecPlot + EffNet_Original,31,1,1,0.08667763322591782,0.8450959920883179,0.0682264044880867
7,MobileNet_RecPlot + EffNet_RecPlot,0,0,2,0.19818037748336792,0.22713510692119598,0.5746845006942749
7,MobileNet_RecPlot + EffNet_RecPlot,1,0,2,0.1383003443479538,0.09947989881038666,0.7622197866439819
7,MobileNet_RecPlot + EffNet_RecPlot,2,0,2,0.20541515946388245,0.05541960522532463,0.7391653060913086
