dataset,seed,branch,sample,categoria,confianca,margem,acertou,complexidade_heatmap,ssim_vs_grupo_confiante,ensemble_salvaria
pulmao,7,mobilenet_orig,6,acerto_confiante,0.9998317956924438,0.9997238597352407,True,0.5800417240463454,,False
pulmao,7,mobilenet_orig,5,acerto_confiante,0.99970942735672,0.9995034301100532,True,0.5820197235533673,,False
pulmao,7,mobilenet_orig,19,acerto_confiante,0.999171018600464,0.9986012831795962,True,0.5487260252779871,,False
pulmao,7,mobilenet_orig,37,acerto_confiante,0.9982699155807496,0.9969850231427702,True,0.570777048613542,,False
pulmao,7,mobilenet_orig,14,acerto_confiante,0.997645914554596,0.9964024146320298,True,0.5519535503948935,,False
pulmao,7,mobilenet_orig,20,acerto_confiante,0.9973400831222534,0.9958973296452314,True,0.6098254285595356,,False
pulmao,7,mobilenet_orig,36,acerto_confiante,0.9968786835670472,0.9947281952481718,True,0.5625301752128529,,False
pulmao,7,mobilenet_orig,40,acerto_confiante,0.9940892457962036,0.9897686927579344,True,0.5840182903055615,,False
pulmao,7,mobilenet_orig,3,erro_confiante,0.7847478985786438,0.5822452157735825,False,0.5712730921957738,0.3793990994070212,True
pulmao,7,mobilenet_orig,15,erro_confiante,0.7793463468551636,0.5758251845836639,False,0.6070652062942493,0.4766375886403882,False
pulmao,7,mobilenet_orig,51,erro_confiante,0.604340136051178,0.36892226338386536,False,0.6081686482273178,0.5533303884780034,True
pulmao,7,mobilenet_orig,7,erro_confiante,0.5716784000396729,0.25477501749992376,False,0.6118568435447871,0.4790360859666493,True
pulmao,7,mobilenet_recplot,8,fronteira,0.3648782968521118,0.0007735490798950195,True,0.5462717321353231,0.5276741708501763,False
pulmao,7,mobilenet_recplot,52,fronteira,0.4977204203605652,0.06334084272384649,False,0.5669576498960223,0.5965155118535905,True
pulmao,7,mobilenet_recplot,58,fronteira,0.4286209642887115,0.01245537400245661,True,0.5902607678266668,0.6114048466966511,False
pulmao,7,mobilenet_recplot,31,acerto_confiante,0.990924835205078,0.9853392136283218,True,0.6743173245554559,,False
pulmao,7,mobilenet_recplot,37,acerto_confiante,0.987546980381012,0.97898861579597,True,0.7516221046296263,,False
pulmao,7,mobilenet_recplot,5,acerto_confiante,0.9866663813591005,0.9766851644963027,True,0.671369559753574,,False
pulmao,7,mobilenet_recplot,4,acerto_confiante,0.9862754940986632,0.9764719456434249,True,0.6351383239594166,,False
pulmao,7,mobilenet_recplot,20,acerto_confiante,0.9811448454856871,0.968578572385013,True,0.5652315064608445,,False
pulmao,7,mobilenet_recplot,44,acerto_confiante,0.9810566306114196,0.9698903895914553,True,0.5478299986120763,,False
pulmao,7,mobilenet_recplot,43,acerto_confiante,0.9786282777786256,0.960680738091469,True,0.6433163189280652,,False
pulmao,7,mobilenet_recplot,35,acerto_confiante,0.9731616973876952,0.9515748117119073,True,0.6179656331751806,,False
pulmao,7,mobilenet_recplot,49,erro_confiante,0.9379106760025024,0.9027084782719612,False,0.5652082141765077,0.5900121670965963,False
pulmao,7,mobilenet_recplot,7,erro_confiante,0.9220787882804872,0.8620027862489225,False,0.6059926439259818,0.7214197969731104,True
pulmao,7,mobilenet_recplot,41,erro_confiante,0.9190101623535156,0.8608121350407602,False,0.582252195680317,0.41544923227631997,True
pulmao,7,mobilenet_recplot,11,erro_confiante,0.8833023309707642,0.7805991247296333,False,0.65266876363383,0.6987614347001353,True
pulmao,7,mobilenet_recplot,36,erro_confiante,0.8425481915473938,0.7267604097723961,False,0.6119290500569317,0.6903159043907704,True
pulmao,7,mobilenet_recplot,2,erro_confiante,0.8110887408256531,0.6470882743597031,False,0.6428631975104012,0.6525150882488763,True
pulmao,7,mobilenet_recplot,14,erro_confiante,0.738616406917572,0.5244878530502319,False,0.6363334925806143,0.6252115383184462,True
pulmao,7,mobilenet_recplot,57,erro_confiante,0.7241314649581909,0.5242412835359574,False,0.6292654709535336,0.6900191322168591,True
pulmao,7,effnet_orig,0,fronteira,0.516957700252533,0.09857973456382757,True,0.5179372974305353,0.25459025458977086,False
pulmao,7,effnet_orig,3,fronteira,0.5033006072044373,0.08506938815116888,False,0.5352221485794174,0.2627648032553324,True
pulmao,7,effnet_orig,8,fronteira,0.3637940287590027,0.0162173211574555,True,0.5546201812569951,0.24861226519492433,False
pulmao,7,effnet_orig,24,fronteira,0.5292389988899231,0.06198427081108099,True,0.5153199109728951,0.26285926729017656,False
pulmao,7,effnet_orig,35,fronteira,0.517815113067627,0.04143965244293213,True,0.5350513374546577,0.28670017459602876,False
pulmao,7,effnet_orig,19,acerto_confiante,0.9998997449874878,0.9998477173430729,True,0.5570870974935959,,False
pulmao,7,effnet_orig,36,acerto_confiante,0.9997522234916688,0.9995859345945065,True,0.5230255286235691,,False
pulmao,7,effnet_orig,42,acerto_confiante,0.9997404217720032,0.9996083200530848,True,0.5384323989748672,,False
pulmao,7,effnet_orig,39,acerto_confiante,0.9996256828308104,0.999403234294732,True,0.5855999989345142,,False
pulmao,7,effnet_orig,29,acerto_confiante,0.999333918094635,0.9987314926693216,True,0.5513303108823348,,False
pulmao,7,effnet_orig,41,acerto_confiante,0.9992588758468628,0.998833825608017,True,0.5510413712246065,,False
pulmao,7,effnet_orig,40,acerto_confiante,0.9989868998527528,0.9984145808266477,True,0.539614899546533,,False
pulmao,7,effnet_orig,5,acerto_confiante,0.998850643634796,0.9979463124764152,True,0.517782703278081,,False
pulmao,7,effnet_orig,3,erro_confiante,0.5033006072044373,0.08506938815116888,False,0.5352221485794174,0.2627648032553324,True
pulmao,7,effnet_recplot,8,fronteira,0.5183205604553223,0.06374770402908325,False,0.5747453035901205,0.452069082354566,True
pulmao,7,effnet_recplot,36,fronteira,0.5006393790245056,0.0479044914245606,False,0.595610243407208,0.17311391858668912,True
pulmao,7,effnet_recplot,42,acerto_confiante,0.9996155500411988,0.9993354315811305,True,0.6179232216527453,,False
pulmao,7,effnet_recplot,25,acerto_confiante,0.9988412261009216,0.9981762411189267,True,0.5958935234485992,,False
