seed,cenario,sample,y_true,y_pred,prob_0,prob_1
7,MobileNet_Original + MobileNet_RecPlot,0,0,0,0.7052079439163208,0.2947920560836792
7,MobileNet_Original + MobileNet_RecPlot,1,0,0,0.6375300884246826,0.36246997117996216
7,MobileNet_Original + MobileNet_RecPlot,2,0,0,0.9469742774963379,0.05302570015192032
7,MobileNet_Original + MobileNet_RecPlot,3,0,0,0.9316847324371338,0.06831526756286621
7,MobileNet_Original + MobileNet_RecPlot,4,0,0,0.9423816204071045,0.057618398219347
7,MobileNet_Original + MobileNet_RecPlot,5,0,0,0.8943275809288025,0.1056724414229393
7,MobileNet_Original + MobileNet_RecPlot,6,0,0,0.9227817058563232,0.07721826434135437
7,MobileNet_Original + MobileNet_RecPlot,7,0,0,0.9660705924034119,0.033929407596588135
7,MobileNet_Original + MobileNet_RecPlot,8,0,0,0.9957590699195862,0.004240954760462046
7,MobileNet_Original + MobileNet_RecPlot,9,0,0,0.9336034655570984,0.066396564245224
7,MobileNet_Original + MobileNet_RecPlot,10,0,0,0.614601731300354,0.385398268699646
7,MobileNet_Original + MobileNet_RecPlot,11,0,0,0.9564526677131653,0.04354732483625412
7,MobileNet_Original + MobileNet_RecPlot,12,0,0,0.8806114196777344,0.11938855051994324
7,MobileNet_Original + MobileNet_RecPlot,13,0,0,0.9095969200134277,0.09040309488773346
7,MobileNet_Original + MobileNet_RecPlot,14,0,0,0.9038947820663452,0.09610521793365479
7,MobileNet_Original + MobileNet_RecPlot,15,0,0,0.9331833124160767,0.06681667268276215
7,MobileNet_Original + MobileNet_RecPlot,16,0,0,0.7272258996963501,0.2727741301059723
7,MobileNet_Original + MobileNet_RecPlot,17,0,0,0.8946693539619446,0.1053306832909584
7,MobileNet_Original + MobileNet_RecPlot,18,0,0,0.8462368845939636,0.15376311540603638
7,MobileNet_Original + MobileNet_RecPlot,19,0,0,0.860317587852478,0.13968245685100555
7,MobileNet_Original + MobileNet_RecPlot,20,0,0,0.9008851051330566,0.09911493211984634
7,MobileNet_Original + MobileNet_RecPlot,21,0,0,0.9034994840621948,0.09650051593780518
7,MobileNet_Original + MobileNet_RecPlot,22,1,1,0.05336109548807144,0.9466388821601868
7,MobileNet_Original + MobileNet_RecPlot,23,1,1,0.008368193171918392,0.991631805896759
7,MobileNet_Original + MobileNet_RecPlot,24,1,1,0.014793576672673225,0.9852064251899719
7,MobileNet_Original + MobileNet_RecPlot,25,1,1,0.22951893508434296,0.7704809904098511
7,MobileNet_Original + MobileNet_RecPlot,26,1,1,0.337703138589859,0.6622968912124634
7,MobileNet_Original + MobileNet_RecPlot,27,1,1,0.08558759093284607,0.9144123792648315
7,MobileNet_Original + MobileNet_RecPlot,28,1,1,0.23238466680049896,0.7676153779029846
7,MobileNet_Original + MobileNet_RecPlot,29,1,1,0.07871101796627045,0.9212889671325684
7,MobileNet_Original + MobileNet_RecPlot,30,1,1,0.03564814478158951,0.9643518924713135
7,MobileNet_Original + MobileNet_RecPlot,31,1,1,0.08245231211185455,0.9175477027893066
7,MobileNet_Original + EffNet_Original,0,0,0,0.9547766447067261,0.04522334039211273
7,MobileNet_Original + EffNet_Original,1,0,0,0.6683781147003174,0.3316219449043274
7,MobileNet_Original + EffNet_Original,2,0,0,0.937739908695221,0.06226010620594025
7,MobileNet_Original + EffNet_Original,3,0,0,0.9820234775543213,0.017976535484194756
7,MobileNet_Original + EffNet_Original,4,0,0,0.854560136795044,0.14543986320495605
7,MobileNet_Original + EffNet_Original,5,0,0,0.9114638566970825,0.08853612095117569
7,MobileNet_Original + EffNet_Original,6,0,0,0.9260441064834595,0.07395588606595993
7,MobileNet_Original + EffNet_Original,7,0,0,0.577176570892334,0.422823429107666
7,MobileNet_Original + EffNet_Original,8,0,0,0.9886998534202576,0.011300117708742619
7,MobileNet_Original + EffNet_Original,9,0,0,0.8250744342803955,0.1749255657196045
7,MobileNet_Original + EffNet_Original,10,0,0,0.7819229960441589,0.21807703375816345
7,MobileNet_Original + EffNet_Original,11,0,0,0.6491227746009827,0.3508772552013397
7,MobileNet_Original + EffNet_Original,12,0,0,0.9142810106277466,0.08571895956993103
7,MobileNet_Original + EffNet_Original,13,0,0,0.8339502215385437,0.1660498082637787
7,MobileNet_Original + EffNet_Original,14,0,0,0.6417096853256226,0.35829034447669983
7,MobileNet_Original + EffNet_Original,15,0,0,0.8201747536659241,0.17982527613639832
7,MobileNet_Original + EffNet_Original,16,0,0,0.9518197774887085,0.048180170357227325
7,MobileNet_Original + EffNet_Original,17,0,0,0.7661342620849609,0.23386570811271667
7,MobileNet_Original + EffNet_Original,18,0,0,0.7242124676704407,0.2757875323295593
7,MobileNet_Original + EffNet_Original,19,0,0,0.8886555433273315,0.11134446412324905
7,MobileNet_Original + EffNet_Original,20,0,0,0.5887899994850159,0.41121000051498413
7,MobileNet_Original + EffNet_Original,21,0,0,0.6789954900741577,0.3210045397281647
7,MobileNet_Original + EffNet_Original,22,1,1,0.010641840286552906,0.9893581867218018
7,MobileNet_Original + EffNet_Original,23,1,1,0.0031503804493695498,0.9968495965003967
7,MobileNet_Original + EffNet_Original,24,1,1,0.0008021470857784152,0.9991978406906128
7,MobileNet_Original + EffNet_Original,25,1,1,0.0028912550769746304,0.9971087574958801
7,MobileNet_Original + EffNet_Original,26,1,1,0.00028631064924411476,0.9997137188911438
7,MobileNet_Original + EffNet_Original,27,1,1,0.05228916555643082,0.9477108716964722
7,MobileNet_Original + EffNet_Original,28,1,1,0.2714872360229492,0.7285128235816956
7,MobileNet_Original + EffNet_Original,29,1,1,0.15038923919200897,0.8496108055114746
7,MobileNet_Original + EffNet_Original,30,1,1,0.015147330239415169,0.98485267162323
7,MobileNet_Original + EffNet_Original,31,1,1,0.020438771694898605,0.9795612096786499
7,MobileNet_Original + EffNet_RecPlot,0,0,0,0.8130111694335938,0.18698884546756744
7,MobileNet_Original + EffNet_RecPlot,1,0,1,0.4495277404785156,0.5504722595214844
7,MobileNet_Original + EffNet_RecPlot,2,0,0,0.9438396096229553,0.05616037920117378
7,MobileNet_Original + EffNet_RecPlot,3,0,0,0.988533616065979,0.011466355994343758
7,MobileNet_Original + EffNet_RecPlot,4,0,0,0.973347544670105,0.026652440428733826
7,MobileNet_Original + EffNet_RecPlot,5,0,0,0.9441832304000854,0.05581676587462425
7,MobileNet_Original + EffNet_RecPlot,6,0,0,0.9790229201316833,0.020977064967155457
7,MobileNet_Original + EffNet_RecPlot,7,0,0,0.9703580141067505,0.02964201010763645
7,MobileNet_Original + EffNet_RecPlot,8,0,0,0.9937417507171631,0.0062582301907241344
7,MobileNet_Original + EffNet_RecPlot,9,0,0,0.8926111459732056,0.10738883167505264
7,MobileNet_Original + EffNet_RecPlot,10,0,0,0.8658079504966736,0.13419204950332642
7,MobileNet_Original + EffNet_RecPlot,11,0,0,0.9597170948982239,0.04028288275003433
7,MobileNet_Original + EffNet_RecPlot,12,0,0,0.7919371128082275,0.20806287229061127
7,MobileNet_Original + EffNet_RecPlot,13,0,0,0.9760452508926392,0.023954764008522034
7,MobileNet_Original + EffNet_RecPlot,14,0,0,0.9656656384468079,0.034334369003772736
7,MobileNet_Original + EffNet_RecPlot,15,0,0,0.9743000268936157,0.02570001408457756
7,MobileNet_Original + EffNet_RecPlot,16,0,0,0.9375908970832825,0.062409162521362305
7,MobileNet_Original + EffNet_RecPlot,17,0,0,0.8715775609016418,0.12842245399951935
7,MobileNet_Original + EffNet_RecPlot,18,0,0,0.8833063244819641,0.1166936457157135
7,MobileNet_Original + EffNet_RecPlot,19,0,0,0.9723349213600159,0.02766510471701622
7,MobileNet_Original + EffNet_RecPlot,20,0,0,0.8971991539001465,0.10280082374811172
7,MobileNet_Original + EffNet_RecPlot,21,0,0,0.639666736125946,0.36033329367637634
7,MobileNet_Original + EffNet_RecPlot,22,1,1,0.06588767468929291,0.9341123104095459
7,MobileNet_Original + EffNet_RecPlot,23,1,1,0.003241943195462227,0.9967580437660217
7,MobileNet_Original + EffNet_RecPlot,24,1,1,0.0013419820461422205,0.9986580014228821
7,MobileNet_Original + EffNet_RecPlot,25,1,1,0.0016905412776395679,0.9983094930648804
7,MobileNet_Original + EffNet_RecPlot,26,1,1,0.47929155826568604,0.520708441734314
7,MobileNet_Original + EffNet_RecPlot,27,1,1,0.047997817397117615,0.952002227306366
7,MobileNet_Original + EffNet_RecPlot,28,1,1,0.21472203731536865,0.7852779626846313
7,MobileNet_Original + EffNet_RecPlot,29,1,1,0.1071077436208725,0.8928922414779663
7,MobileNet_Original + EffNet_RecPlot,30,1,1,0.01344614289700985,0.9865538477897644
7,MobileNet_Original + EffNet_RecPlot,31,1,1,0.008167976513504982,0.9918320178985596
7,MobileNet_RecPlot + EffNet_Original,0,0,0,0.7108614444732666,0.2891386151313782
7,MobileNet_RecPlot + EffNet_Original,1,0,0,0.6736494898796082,0.32635053992271423
7,MobileNet_RecPlot + EffNet_Original,2,0,0,0.9856216907501221,0.014378287829458714
7,MobileNet_RecPlot + EffNet_Original,3,0,0,0.9307260513305664,0.0692739263176918
7,MobileNet_RecPlot + EffNet_Original,4,0,0,0.8490297794342041,0.15097028017044067
7,MobileNet_RecPlot + EffNet_Original,5,0,0,0.8222203254699707,0.1777796447277069
7,MobileNet_RecPlot + EffNet_Original,6,0,0,0.8883979320526123,0.11160209029912949
7,MobileNet_RecPlot + EffNet_Original,7,0,0,0.6017671823501587,0.3982328176498413
7,MobileNet_RecPlot + EffNet_Original,8,0,0,0.9847288131713867,0.015271158888936043
7,MobileNet_RecPlot + EffNet_Original,9,0,0,0.8054991960525513,0.19450081884860992
7,MobileNet_RecPlot + EffNet_Original,10,0,0,0.5368409156799316,0.46315914392471313
7,MobileNet_RecPlot + EffNet_Original,11,0,0,0.6840993762016296,0.315900593996048
7,MobileNet_RecPlot + EffNet_Original,12,0,0,0.8402815461158752,0.15971845388412476
7,MobileNet_RecPlot + EffNet_Original,13,0,0,0.7907147407531738,0.20928525924682617
